Date,Province,Confirmed,Deaths,Recovered,Active,New Cases
2020-06-21T00:00:00Z,,103078,8481,65249,29348,0
2020-06-22T00:00:00Z,,103418,8493,65721,29204,340
2020-06-21T00:00:00Z,Alberta,7704,152,0,7552,0
2020-06-22T00:00:00Z,Alberta,7736,153,0,7583,32
2020-06-21T00:00:00Z,British Columbia,2790,168,0,2622,0
2020-06-22T00:00:00Z,British Columbia,2822,169,0,2653,32
2020-06-21T00:00:00Z,Grand Princess,13,0,0,13,0
2020-06-22T00:00:00Z,Grand Princess,13,0,0,13,0
2020-06-21T00:00:00Z,Manitoba,313,7,0,306,0
2020-06-22T00:00:00Z,Manitoba,314,7,0,307,1
2020-06-21T00:00:00Z,New Brunswick,164,2,0,162,0
2020-06-22T00:00:00Z,New Brunswick,164,2,0,162,0
2020-06-21T00:00:00Z,Newfoundland and Labrador,261,3,0,258,0
2020-06-22T00:00:00Z,Newfoundland and Labrador,261,3,0,258,0
2020-06-21T00:00:00Z,Northwest Territories,5,0,0,5,0
2020-06-22T00:00:00Z,Northwest Territories,5,0,0,5,0
2020-06-21T00:00:00Z,Nova Scotia,1061,62,0,999,0
2020-06-22T00:00:00Z,Nova Scotia,1061,63,0,998,0
2020-06-21T00:00:00Z,Ontario,35217,2657,0,32560,0
2020-06-22T00:00:00Z,Ontario,35418,2666,0,32752,201
2020-06-21T00:00:00Z,Prince Edward Island,27,0,0,27,0
2020-06-22T00:00:00Z,Prince Edward Island,27,0,0,27,0
2020-06-21T00:00:00Z,Quebec,54766,5417,0,49349,0
2020-06-22T00:00:00Z,Quebec,54835,5417,0,49418,69
2020-06-21T00:00:00Z,Saskatchewan,746,13,0,733,0
2020-06-22T00:00:00Z,Saskatchewan,751,13,0,738,5
2020-06-21T00:00:00Z,Yukon,11,0,0,11,0
2020-06-22T00:00:00Z,Yukon,11,0,0,11,0
